Researcher	Researcher_Reactor	Sample_Name	Day	Seq_Tech	MAG_ID	Relative_Abundance
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BACIL8_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF11_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF18_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF19_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF7_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BIF9_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BUL1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_BUL2_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_ENTER4_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_PREV8_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_SCHLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_MP_SPOR1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_ACET5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_BAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LAC5_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LEVLAC1_1	0
AI	AI_Sludge	AcidSludgeSampleB	0	PacBio	UW_TS_LIMLAC1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_DM_LIMLAC1_1	3.527909925
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_ATO5_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_BIF15_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LAC2_1	0.070191104
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LACCAS1_1	0.10095042
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_PED1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_PED2_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_BIF3_1	0.01529179
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_ACET3_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LAC1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LAC3_1	2.41163545
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_BIF2_1	0.123701195
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_LEUC1_1	0.35539285
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_DM_LIMLAC2_1	5.922298325
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_BIF10_1	0.145395133
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_LIQLAC1_1	0.040955778
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_ATO2_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_ATO3_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_COMLAC1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_FURLAC1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	MS_EUB1_2018_genome	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_DM_MEG1_1	49.477145
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_ACID1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_BACTE1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_CLOS1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_CLOS2_1	0.13799742
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_MEG5_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_ACID2_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_ANA1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_EUB1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_EUB2_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_LCO1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LCO2_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LCO3_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	MS_LCO1_2018_genome	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_ACUT1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_SPH1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_DM_BACIL1_1	0.251315758
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_DM_BURK1_1	3.818919925
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_ATO4_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_MP_BACIL2_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_ACET1_1	0
AI	AI_DM	DMB5_1SRT	6	PacBio	UW_TS_LCO1_1	0
