"Rel_Abundance"	"variable"	"value"
"280"	"UW_TS_ATO3_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"281"	"UW_TS_COMLAC1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"282"	"UW_TS_FURLAC1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"283"	"MS_EUB1_2018_genome"	"AI_DMB5_1SRT_Day06_PacBio"	0
"284"	"UW_DM_MEG1_1"	"AI_DMB5_1SRT_Day06_PacBio"	49.477145
"285"	"UW_MP_ACID1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"286"	"UW_MP_BACTE1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"287"	"UW_MP_CLOS1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"288"	"UW_MP_CLOS2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.13799742
"289"	"UW_MP_MEG5_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"290"	"UW_MP_ACID2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"291"	"UW_MP_ANA1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"292"	"UW_TS_EUB1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"293"	"UW_TS_EUB2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"294"	"UW_MP_LCO1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"295"	"UW_TS_LCO2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"296"	"UW_TS_LCO3_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"297"	"MS_LCO1_2018_genome"	"AI_DMB5_1SRT_Day06_PacBio"	0
"298"	"UW_MP_ACUT1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"299"	"UW_MP_SPH1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"300"	"UW_DM_BACIL1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0.251315758
"301"	"UW_DM_BURK1_1"	"AI_DMB5_1SRT_Day06_PacBio"	3.818919925
"302"	"UW_MP_ATO4_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"303"	"UW_MP_BACIL2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"304"	"UW_TS_ACET1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"305"	"UW_TS_LCO1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"306"	"UW_MP_BACIL1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"307"	"UW_MP_PREV1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"308"	"UW_MP_SPH2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"309"	"UW_TS_ACET2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"310"	"UW_MP_ATO2_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"311"	"UW_DM_BACTE1_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"312"	"UW_DM_DIAL1_1"	"AI_DMB5_1SRT_Day06_PacBio"	1.99276235
"313"	"UW_MP_BACIL7_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"314"	"UW_MP_BACTE7_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"315"	"UW_MP_PREV6_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
"316"	"UW_MP_PREV7_1"	"AI_DMB5_1SRT_Day06_PacBio"	0
